Station K2,,,,,,,
,,,,,,,
,,,TMF,OCF,OPF,CAF,LMF
,,Sampling ,,,Biogenic,Ca based,
,open day,Interval,Total Mass Flux,Org-C Flux,Opal flux,CaCO3 flux,Lithogenic flux
,,(days),(mg m-2 day-1),(mg m-2 day-1),(mg m-2 day-1),(mg m-2 day-1),(mg m-2 day-1)
,,,,,,,
1,20-Mar-05,14,16.88,0.87,7.08,2.37,5.57
2,3-Apr-05,14,37.68,1.27,13.24,12.68,8.61
3,17-Apr-05,14,80.20,2.05,23.79,39.64,10.77
4,1-May-05,14,50.36,1.42,16.05,21.47,8.70
5,15-May-05,14,109.58,2.66,25.81,61.70,13.22
6,29-May-05,14,63.07,1.70,18.00,30.14,9.50
7,12-Jun-05,14,55.29,1.79,19.40,17.62,10.24
8,26-Jun-05,14,57.37,2.01,23.94,15.67,11.19
9,10-Jul-05,14,166.31,6.14,106.55,30.62,17.81
10,24-Jul-05,14,413.97,14.48,292.09,48.07,28.12
11,7-Aug-05,14,464.97,16.19,337.38,44.12,27.37
12,21-Aug-05,14,241.23,8.28,175.15,29.17,22.11
13,4-Sep-05,14,131.19,4.34,90.83,18.77,15.30
,,,,,,,
1,1-Oct-05,14,62.61,2.51,33.06,21.38,10.01
2,15-Oct-05,14,93.59,3.21,37.89,48.18,11.41
3,29-Oct-05,21,103.82,3.49,36.45,60.41,12.77
4,19-Nov-05,21,97.40,3.34,29.93,62.31,11.62
5,10-Dec-05,21,99.36,2.58,23.41,71.80,9.71
6,31-Dec-05,21,48.92,1.33,15.70,28.06,8.75
7,21-Jan-06,21,8.72,0.34,2.17,4.81,1.91
8,11-Feb-06,21,6.93,0.36,2.65,2.44,1.60
9,4-Mar-06,21,14.03,0.63,6.60,4.10,3.21
10,25-Mar-06,21,110.25,4.04,71.53,22.18,17.59
11,15-Apr-06,21,195.40,6.13,113.05,58.61,30.29
12,6-May-06,14,200.31,6.33,114.83,62.60,27.42
,,,,,,,
1,1-Oct-07,17,25.02,1.05,9.90,7.72,4.07
2,18-Oct-07,17,78.76,2.44,27.67,33.19,11.53
3,4-Nov-07,17,55.60,1.62,15.96,24.36,14.52
4,21-Nov-07,17,62.20,2.39,17.62,31.46,6.99
5,8-Dec-07,17,100.42,2.42,32.41,44.49,14.03
6,25-Dec-07,17,63.79,1.41,18.12,32.61,9.12
7,11-Jan-08,17,23.17,0.70,7.69,8.82,4.18
8,28-Jan-08,17,8.59,0.27,2.49,3.43,1.58
9,14-Feb-08,17,6.96,0.26,2.43,2.13,1.49
10,2-Mar-08,17,25.97,0.80,12.20,5.08,5.60
11,19-Mar-08,17,34.33,0.88,17.74,7.63,5.08
12,5-Apr-08,17,73.35,1.48,32.92,25.76,8.45
13,22-Apr-08,17,82.29,1.77,42.45,23.15,10.77
14,9-May-08,17,147.72,2.68,65.89,37.47,19.74
15,26-May-08,17,135.58,2.55,77.54,29.74,15.46
16,12-Jun-08,17,260.31,5.43,166.33,33.70,29.59
17,29-Jun-08,17,256.02,5.33,176.02,21.58,31.64
18,16-Jul-08,17,204.79,4.54,147.35,12.19,28.70
19,2-Aug-08,17,195.13,5.27,137.76,10.33,25.41
20,19-Aug-08,17,92.08,3.38,62.21,7.10,15.98
21,5-Sep-08,17,138.93,3.75,91.22,14.06,19.38
,,,,,,,
1,1-Nov-08,17,290.78,16.79,107.47,131.55,17.99
2,18-Nov-08,17,121.99,2.87,37.39,71.75,9.53
3,5-Dec-08,17,98.51,2.47,30.64,52.11,12.91
4,22-Dec-08,17,36.26,1.16,13.41,13.67,7.04
5,8-Jan-09,17,42.82,1.45,18.65,9.86,10.14
6,25-Jan-09,17,34.00,1.17,14.41,6.04,7.35
