Depth..MAB.,Station,Date_open,Date_closed,Collect_date,Duration.open,Org C flux (mg/m2/day),Total C flux (mg/m^2/day),PIC flux (mg C m^2/d)
600,118,6/23/1989,7/23/1989,6/23/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/24/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/25/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/26/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/27/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/28/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/29/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,6/30/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/1/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/2/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/3/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/4/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/5/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/6/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/7/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/8/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/9/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/10/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/11/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/12/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/13/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/14/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/15/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/16/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/17/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/18/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/19/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/20/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/21/1989,30,14.0656728,26.931256,12.8655832
600,118,6/23/1989,7/23/1989,7/22/1989,30,14.0656728,26.931256,12.8655832
600,118,7/23/1989,8/22/1989,7/23/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/24/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/25/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/26/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/27/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/28/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/29/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/30/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,7/31/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/1/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/2/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/3/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/4/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/5/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/6/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/7/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/8/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/9/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/10/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/11/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/12/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/13/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/14/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/15/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/16/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/17/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/18/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/19/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/20/1989,30,18.87093333,34.50158933,15.630656
600,118,7/23/1989,8/22/1989,8/21/1989,30,18.87093333,34.50158933,15.630656
NA,NA,NA,NA,8/22/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/23/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/24/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/25/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/26/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/27/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/28/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/29/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/30/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,8/31/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/1/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/2/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/3/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/4/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/5/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/6/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/7/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/8/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/9/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/10/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/11/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/12/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/13/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/14/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/15/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/16/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/17/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/18/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/19/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/20/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/21/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/22/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/23/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/24/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/25/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/26/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/27/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/28/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/29/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,9/30/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/1/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/2/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/3/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/4/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/5/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/6/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/7/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/8/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/9/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/10/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/11/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/12/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/13/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/14/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/15/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/16/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/17/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/18/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/19/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/20/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/21/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,10/22/1989,NA,NA,NA,#VALUE!
600,208,10/23/1989,11/22/1989,10/23/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/24/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/25/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/26/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/27/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/28/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/29/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/30/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,10/31/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/1/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/2/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/3/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/4/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/5/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/6/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/7/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/8/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/9/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/10/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/11/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/12/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/13/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/14/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/15/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/16/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/17/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/18/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/19/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/20/1989,30,8.057365333,10.90569867,2.848333337
600,208,10/23/1989,11/22/1989,11/21/1989,30,8.057365333,10.90569867,2.848333337
600,208,11/22/1989,12/22/1989,11/22/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/23/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/24/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/25/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/26/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/27/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/28/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/29/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,11/30/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/1/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/2/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/3/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/4/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/5/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/6/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/7/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/8/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/9/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/10/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/11/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/12/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/13/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/14/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/15/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/16/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/17/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/18/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/19/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/20/1989,30,8.355242667,12.34615467,3.990912003
600,208,11/22/1989,12/22/1989,12/21/1989,30,8.355242667,12.34615467,3.990912003
NA,NA,NA,NA,12/22/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/23/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/24/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/25/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/26/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/27/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/28/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/29/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/30/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,12/31/1989,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/1/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/2/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/3/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/4/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/5/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/6/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/7/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/8/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/9/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/10/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/11/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/12/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/13/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/14/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/15/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/16/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/17/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/18/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/19/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/20/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/21/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/22/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/23/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/24/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/25/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/26/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/27/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/28/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/29/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/30/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,1/31/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/1/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/2/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/3/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/4/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/5/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/6/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/7/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/8/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/9/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/10/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/11/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/12/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/13/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/14/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/15/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/16/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/17/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/18/1990,NA,NA,NA,#VALUE!
NA,NA,NA,NA,2/19/1990,NA,NA,NA,#VALUE!
