OFP 3200m Flux Data,,,,,,,,,,,,,,,,,,,,,,
Database current as of 6Nov2020,,,,,,,,,,,,,,,,,,,,,,
,Seq.Day,,,SAMPLE START DATE,,,,,,,,,,particles,Supernatant,,,,,,,
,(Start,Mid-seq.,,,,Julian,mid,mid ,Days,Mass flux,CaCO3flux,Corg flux,N flux,Ppart flux,Psuper flux,Opal flux,lith flux,,,,,
Sample ID,Day),Day,Year,Mo.,Day,Day,JDAY,JDAY180,open,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,ug m-2 d-1,ug m-2 d-1,mg/m2/d,mg/m2/d,,,,,
%  6/78,0,31,1978,4,6,96,127,309,62,35.07,19.21,1.78,0.21,,,5.12,6.63,,,,,
%  8/78,62,93,1978,6,7,158,189,7,62,26.08,14.58,1.25,0.16,,,3.63,4.99,,,,,
% 10/78,125,156,1978,8,9,221,252,70,62,25.35,14.38,1.21,0.15,,,3.38,4.82,,,,,
%  2/79,250,282,1978,12,12,346,13,195,64,41.04,23.02,1.96,0.25,,,6.53,6.99,,,,,
%  5/79,353,387,1979,3,25,84,118,300,68,58.82,31.69,3.05,0.38,,,9.43,10.69,,,,,
%  7/79,421,451,1979,6,1,152,182,1,60,24.24,13.45,1.03,0.13,,,3.35,5.08,,,,,
%9/79???,,,,,,,,,,,,,,,,,,,,,,
% 12/79,555,581,1979,10,13,286,312,130,52,20.38,10.48,0.76,0.10,,,,,,,,,
%  2/80,609,639.5,1979,12,6,340,5.5,188,61,50.05,30.22,2.69,0.33,,,7.44,6.21,,,,,
%  4/80,672,702.5,1980,2,7,38,68.5,251,61,51.13,33.23,2.21,0.26,,,5.47,7.34,,,,,
%  6/80,741,772.5,1980,4,16,108,139.5,322,63,51.09,29.25,2.38,0.30,,,7.61,8.77,,,,,
%  8/80,807,833,1980,6,21,173,199,17,52,17.95,9.62,0.84,0.11,,,2.50,3.89,,,,,
% 10/80,859,891,1980,8,12,225,257,75,64,22.84,13.03,1.01,0.12,,,3.43,4.06,,,,,
% 12/80,926,952.5,1980,10,18,292,318.5,137,53,31.26,18.12,1.31,0.18,,,3.94,6.16,,,,,
%2/81???,,,,,,,,,,,,,,,,,,,,,,
%  4/81,1037,1067.5,1981,2,6,37,67.5,250,61,52.80,30.09,2.65,0.32,,,7.94,8.67,,,,,
%  5/81,1099,1123,1981,4,9,99,123,305,48,120.40,79.50,5.58,0.62,,,18.55,9.51,,,,,
%  7/81,1148,1175.5,1981,5,28,148,175.5,358,55,45.59,28.24,1.88,0.22,,,7.27,5.75,,,,,
%  9/81,1203,1231,1981,7,22,203,231,49,56,34.75,19.82,1.52,0.18,,,4.64,6.79,,,,,
% 12/81,1261,1299,1981,9,18,230,268,86,76,30.57,16.14,1.32,0.16,,,4.55,6.85,,,,,
%  2/82,1337,1368,1981,12,3,337,368,186,62,41.61,24.48,1.92,0.24,,,6.24,6.48,,,,,
%  4/82,1399,1430.5,1982,2,3,34,65.5,248,63,50.46,29.80,2.50,0.32,,,7.11,7.82,,,,,
%  6/82,1469,1497,1982,4,14,104,132,314,56,55.56,27.39,2.30,0.28,,,11.61,11.27,,,,,
%  8/82,1528,1561.5,1982,6,12,163,196.5,15,67,81.80,39.98,3.70,0.41,,,19.54,13.77,,,,,
% 12/82,1657,1682,1982,10,19,292,317,135,50,39.14,18.61,1.51,0.20,,,6.19,10.86,,,,,
%  3/83,1748,1777,1983,1,18,18,47,229,58,74.84,56.76,2.84,0.34,,,7.16,4.39,,,,,
%  5/83,1806,1841,1983,3,17,76,111,293,70,55.05,32.87,2.65,0.33,,,7.93,8.15,,,,,
%  7/83,1876,1900,1983,5,26,146,170,352,48,33.60,20.01,1.45,0.18,,,4.69,5.56,,,,,
%  9/83,1925,1959.5,1983,7,14,195,229.5,48,69,46.01,26.14,2.16,0.26,,,7.95,6.96,,,,,
% 11/83,1994,2022,1983,9,21,264,292,110,56,26.51,14.17,1.15,0.14,,,3.47,6.22,,,,,
%  1/84,2050,2081.5,1983,11,16,320,351.5,170,63,26.16,14.11,1.14,0.13,,,3.64,5.79,,,,,
%  3/84,2113,2141,1984,1,18,18,46,228,56,16.70,10.30,0.74,0.09,,,2.12,2.58,,,,,
%  5/84,2184,2209,1984,3,29,89,114,296,50,43.96,29.60,1.75,0.22,,,3.53,6.80,,,,,
OFP,,,,,,,,,,,,,,,,,,,,,,
%  5/84,2184,2209,1984,3,29,89,114,296,50,33.23,18.77,1.36,0.18,,,4.89,6.45,,,,,
%  9/84,2305,2332,1984,7,28,210,237,55,54,30.46,17.45,1.32,0.18,,,3.75,6.22,,,,,
%  1/85,2417,2446,1984,11,17,322,351,169,58,24.83,14.10,1.12,,,,2.74,5.40,,,,,
%  3/85,2492,2518.5,1985,1,31,31,57.5,240,53,42.98,23.89,2.59,0.33,,,4.75,8.38,,,,,
%  5/85,2548,2571,1985,3,28,87,110,292,46,43.84,25.28,2.23,0.32,,,6.58,6.87,,,,,
%  7/85,2595,2627,1985,5,14,134,166,348,64,29.18,16.55,1.27,0.20,,,3.17,6.54,,,,,
% 10/85,2679,2707,1985,8,6,218,246,64,56,28.97,15.95,1.41,0.20,,,3.12,6.65,,,,,
% 11/85,2737,2760,1985,10,3,276,299,117,46,33.13,18.44,1.51,0.22,,,4.02,7.19,,,,,
%  1/86,2784,2815,1985,11,19,323,354,172,62,44.15,27.41,1.89,0.22,,,4.83,7.57,,,,,
%  4/86,2853,2885,1986,1,27,27,59,241,64,50.74,29.89,2.15,0.28,,,6.39,9.51,,,,,
%  6/86,2920,2949.5,1986,4,4,94,123.5,306,59,38.74,23.93,1.65,0.19,,,4.56,6.46,,,,,
%  7/86,2980,3005,1986,6,3,154,179,361,50,29.31,16.88,1.52,0.15,,,3.36,5.56,,,,,
%  1/87,3144,3178,1986,11,14,318,352,170,68,25.86,14.99,1.17,0.13,,,2.54,5.64,,,,,
%  3/87,3213,3243.5,1987,1,22,22,52.5,235,61,48.00,29.47,1.92,0.31,,,5.07,9.03,,,,,
%  5/87,3277,3303.5,1987,3,27,86,112.5,295,53,44.04,29.06,1.91,0.26,,,4.69,5.90,,,,,
%  7/87,3331,3365,1987,5,20,140,174,356,68,33.48,20.63,1.28,0.17,,,4.04,5.87,,,,,
%  9/87,3400,3428,1987,7,28,209,237,55,56,36.52,19.34,1.41,0.19,,,4.45,9.48,,,,,
% 11/87,3457,3481,1987,9,23,266,290,108,48,29.29,16.09,1.04,0.13,,,3.26,7.55,,,,,
%  1/88,3506,3537,1987,11,11,315,346,164,62,37.38,23.73,1.79,0.21,,,3.84,5.69,,,,,
%  3/88,3570,3600,1988,1,14,14,44,226,60,38.52,23.97,1.87,0.27,,,4.14,6.12,,,,,
%  5/88,3635,3664,1988,3,19,79,108,290,58,49.31,29.02,2.53,0.40,,,6.31,8.17,,,,,
%  7/88,3694,3721.5,1988,5,17,138,165.5,348,55,50.44,29.48,2.36,0.35,,,6.63,8.90,,,,,
%  9/88,3751,3781.5,1988,7,13,195,225.5,44,61,36.37,20.18,1.64,0.28,,,4.83,7.59,,,,,
% 11/88,3813,3844,1988,9,13,257,288,106,62,32.54,18.59,1.43,0.21,,,3.82,6.85,,,,,
%  1/89,3876,3914,1988,11,15,320,358,176,76,37.75,22.84,1.56,0.19,,,4.04,7.27,,,,,
%  4/89,3954,3984.5,1989,2,1,32,62.5,245,61,58.40,34.41,2.76,0.35,,,7.33,10.32,,,,,
%  6/89,4016,4047,1989,4,4,94,125,307,62,31.12,17.24,1.34,0.16,,,3.60,7.19,,,,,
%  8/89-1,4082,4089.5,1989,6,9,160,167.5,350,15,19.98,10.80,0.97,0.11,,,,,,,,,
%  8/89-2,4097,4104.5,1989,6,24,175,182.5,1,15,33.30,19.63,1.42,0.18,,,3.85,6.55,,,,,
%  8/89-3,4112,4119.5,1989,7,9,190,197.5,16,15,34.37,21.55,1.32,0.18,,,3.93,5.85,,,,,
%  8/89-4,4127,4134.5,1989,7,24,205,212.5,31,15,22.58,12.74,1.03,0.13,,,,,,,,,
% 10/89-1,4144,4151.5,1989,8,10,222,229.5,48,15,23.49,11.39,1.30,0.14,,,,,,,,,
% 10/89-2,4159,4166.5,1989,8,25,237,244.5,63,15,30.86,17.22,1.32,0.17,,,4.08,6.53,,,,,
